filename-1,filename-2,similarity,title-1,year-1,month-1,day-1,title-2,year-2,month-2,day-2
2023-12-05_1916.txt,2024-01-04_1503.txt,0.938133865,The Take: Israel’s war on Gaza looms over COP28 Dubai,2023,12,5,"The Take: Israel, Palestine, BDS, and the right to boycott in the US",2024,1,4
2023-11-21_2186.txt,2024-01-04_1503.txt,0.895891849,The Take: The genocide lawsuit against Joe Biden over Israel-Gaza war,2023,11,21,"The Take: Israel, Palestine, BDS, and the right to boycott in the US",2024,1,4
2023-11-10_2430.txt,2024-01-04_1503.txt,0.897410284,The Take: Arrests and harassment threaten Palestinians in Israel,2023,11,10,"The Take: Israel, Palestine, BDS, and the right to boycott in the US",2024,1,4
2023-12-06_1897.txt,2024-01-04_1503.txt,0.894604,The Take: The role of Israeli AI in Gaza’s massive death toll,2023,12,6,"The Take: Israel, Palestine, BDS, and the right to boycott in the US",2024,1,4
2023-10-25_2857.txt,2024-01-04_1503.txt,0.893062366,The Take: Why is Israel delaying a ground invasion of Gaza?,2023,10,25,"The Take: Israel, Palestine, BDS, and the right to boycott in the US",2024,1,4
2023-11-14_2340.txt,2024-01-04_1503.txt,0.868609148,The Take: What can protests do to block military aid from the US to Israel?,2023,11,14,"The Take: Israel, Palestine, BDS, and the right to boycott in the US",2024,1,4
2023-10-20_2967.txt,2024-01-04_1503.txt,0.839243166,The Take: The backlash to supporting Palestine,2023,10,20,"The Take: Israel, Palestine, BDS, and the right to boycott in the US",2024,1,4
2023-12-14_1759.txt,2024-01-04_1503.txt,0.895205011,The Take: Can the UN do anything to stop Israel’s war on Gaza?,2023,12,14,"The Take: Israel, Palestine, BDS, and the right to boycott in the US",2024,1,4
2023-10-26_2832.txt,2024-01-04_1503.txt,0.849032029,The Take: Ukraine and Gaza wars – is there a double standard at play?,2023,10,26,"The Take: Israel, Palestine, BDS, and the right to boycott in the US",2024,1,4
2024-01-02_1529.txt,2024-01-04_1503.txt,0.86419768,The Take: Are Hezbollah and Israel close to an all-out war?,2024,1,2,"The Take: Israel, Palestine, BDS, and the right to boycott in the US",2024,1,4
2023-11-29_2025.txt,2024-01-04_1503.txt,0.877465815,"The Take: With Israel’s release of prisoners, thousands more still detained",2023,11,29,"The Take: Israel, Palestine, BDS, and the right to boycott in the US",2024,1,4
2023-11-15_2313.txt,2024-01-04_1503.txt,0.889404693,"The Take: Detained, tortured and banned – Workers from Gaza in Israel",2023,11,15,"The Take: Israel, Palestine, BDS, and the right to boycott in the US",2024,1,4
2023-10-24_2880.txt,2024-01-04_1503.txt,0.872604461,The Take: A new era of solidarity for the Palestinian cause,2023,10,24,"The Take: Israel, Palestine, BDS, and the right to boycott in the US",2024,1,4
2023-11-28_2045.txt,2024-01-04_1503.txt,0.867808257,"The Take: After Israel and Hamas extend their truce, what comes next?",2023,11,28,"The Take: Israel, Palestine, BDS, and the right to boycott in the US",2024,1,4
2023-10-31_2707.txt,2024-01-04_1503.txt,0.811515362,The Take: Are the captives a priority in Israel’s war on Gaza?,2023,10,31,"The Take: Israel, Palestine, BDS, and the right to boycott in the US",2024,1,4
2023-12-04_1933.txt,2024-01-04_1503.txt,0.860854194,The Take: US shooting of Palestinian students sparks climate of fear,2023,12,4,"The Take: Israel, Palestine, BDS, and the right to boycott in the US",2024,1,4
2023-10-12_3208.txt,2024-01-04_1503.txt,0.855910741,"The Take: As Israel unifies, Gaza pays the price",2023,10,12,"The Take: Israel, Palestine, BDS, and the right to boycott in the US",2024,1,4
2023-11-09_2457.txt,2024-01-04_1503.txt,0.853245516,The Take: Gaza hospitals on the brink of collapse amid Israel’s bombardment,2023,11,9,"The Take: Israel, Palestine, BDS, and the right to boycott in the US",2024,1,4
2023-10-13_3171.txt,2024-01-04_1503.txt,0.838464224,The Take: What media outlets get wrong on Israel and Palestine,2023,10,13,"The Take: Israel, Palestine, BDS, and the right to boycott in the US",2024,1,4
